date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:15	23222/23222	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:17:45%20GMT	https://cleanservice.com.au/pricing	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/pricing.html	(from https://cleanservice.com.au/)
12:17:16	12239/12239	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:17:46%20GMT	https://cleanservice.com.au/faq	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/faq.html	(from https://cleanservice.com.au/)
12:17:16	15249/15249	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:17:47%20GMT	https://cleanservice.com.au/contact	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/contact.html	(from https://cleanservice.com.au/)
12:17:17	16855/16855	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-41d7%22	https://cleanservice.com.au/resources/pic/main/cleanservice_logo.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/cleanservice_logo.png	(from https://cleanservice.com.au/)
12:17:18	16218/16218	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-3f5a%22	https://cleanservice.com.au/resources/pic/main/stegbar-logo.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/stegbar-logo.png	(from https://cleanservice.com.au/)
12:17:19	2951/2951	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-b87%22	https://cleanservice.com.au/resources/pic/main/capital-skin-cancer-clinic.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/capital-skin-cancer-clinic.png	(from https://cleanservice.com.au/)
12:17:19	4525/4525	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-11ad%22	https://cleanservice.com.au/resources/pic/main/sportscare-and-physiotherapy-logo.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/sportscare-and-physiotherapy-logo.png	(from https://cleanservice.com.au/)
12:17:22	31525/31525	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-7b25%22	https://cleanservice.com.au/resources/pic/industry/office-cleaning2.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/industry/office-cleaning2.png	(from https://cleanservice.com.au/)
12:17:23	25780/25780	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-64b4%22	https://cleanservice.com.au/resources/pic/industry/medical-cleaning.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/industry/medical-cleaning.png	(from https://cleanservice.com.au/)
12:17:23	13799/13799	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-35e7%22	https://cleanservice.com.au/resources/pic/industry/sports-cleaning.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/industry/sports-cleaning.png	(from https://cleanservice.com.au/)
